Name,Ident,Duplicate
Attelante                     ,FAM_C22253_10                 ,0  
AUDAZ                         ,1177 (40).1                   ,0  
Augusta                       ,BL L/MAR/B/629D               ,0  
Auguste                       ,FAM_C22253_13                 ,0  
Aurora                        ,BL L/MAR/B/228A               ,0  
Aurora                        ,"Extract C, Reis 16, p.198-209 ",0  
Aurora                        ,NMM ADM/L/A237                ,0  
Azia                          ,"Extract T, Reis 21a, p.192-202",0  
Azia                          ,"Extract T, Reis 21b, p.203-210",0  
Azia                          ,"Extract T, Reis 21c, p.211-220",0  
Badger                        ,NMM ADM/L/B3                  ,0  
Baleine                       ,NMM ADM/L/B6                  ,0  
Banka                         ,MAR_D23905_435                ,0  
Batavia                       ,"Extract B, Reis 15, pp 241    ",0  
Batavia                       ,"Extract B, Reis 20            ",0  
Batavia                       ,"Extract C, Reis 11, p169-179  ",0  
Batavia                       ,"Extract C, Reis 20, pp.250-257",0  
Batavia                       ,"Extract C, Reis 7, pp. 106-114",0  
Batavia                       ,"Extract D, Reis 3             ",0  
Batavia                       ,"Extract L, Reis 3             ",0  
Batavia                       ,MAR_D23905_439                ,0  
Bato                          ,MAR_D23318_114                ,0  
Beaver                        ,NMM ADM/L/B30                 ,0  
Beaver                        ,NMM ADM/L/B31                 ,0  
Beaver                        ,NMM ADM/L/B33                 ,0  
Belle Isle                    ,NMM ADM/L/B54                 ,0  
Belleisle                     ,NMM ADM/L/B52                 ,0  
Bellona                       ,ADM_177_1204A                 ,0  
Bellona                       ,BL L/MAR/B/353A               ,0  
Bellona                       ,BL L/MAR/B/353B               ,0  
Bellona                       ,BL L/MAR/B/353C               ,0  
Bellona                       ,MAR_D23318_37                 ,0  
Bellona                       ,MAR_D23905_490                ,0  
Bellona                       ,MAR_D23905_492                ,0  
Bellona                       ,MMR_WAE188                    ,0  
Bellona                       ,"Extract T, Reis 17            ",1  
Bellona                       ,"Extract 17+, Reis 19          ",2  
Belmont                       ,BL L/MAR/B/444D               ,0  
Bittern                       ,NMM ADM/L/B94                 ,0  
Blanche                       ,NMM ADM/L/B97                 ,0  
Blandford                     ,NMM ADM/L/B103                ,0  
Blonde                        ,NMM ADM/L/B116                ,0  
Boreas                        ,ADM_193_16                    ,0  
Boreas                        ,"Extract T, Reis 13            ",0  
Boreas                        ,"Extract T, Reis 16            ",0  
Boreas                        ,"Extract V, Reis 6, pp. 48-52  ",0  
Boreas                        ,"Extract V, Reis 8, pp. 66-71  ",0  
Boreas                        ,"Extract X, Reis 5, p1-10      ",0  
Boreas                        ,NMM ADM/L/B134                ,0  
Boreas                        ,NMM ADM/L/B136                ,0  
Boreas                        ,"Extract X, Reis 8             ",1  
Borssele                      ,VOC_152_11421                 ,0  
Bos en Hoven                  ,VOC_152_5130                  ,0  
Boston                        ,NMM ADM/L/B138                ,0  
Botland                       ,GAA_Bibliotheek_M951_59       ,0  
Boyne                         ,NMM ADM/L/B149                ,0  
Braave                        ,MAR_D23318_33                 ,0  
Brak                          ,ADM_177_1196                  ,0  
Bridgewater                   ,BL L/MAR/B/42I                ,0  
Bristol                       ,NMM ADM/L/B125B               ,0  
Britannia                     ,BL L/MAR/B/285CCC             ,0  
Broederslust                  ,MMR_H692                      ,0  
Bromo                         ,"Extract V, pp. 13-16          ",0  
Bromo                         ,"Extract V, pp. 8-12           ",0  
Bromo                         ,"Extract V, Reis 03, pp. 17-21 ",0  
Brune                         ,NMM ADM/L/B94                 ,0  
Brutus                        ,MAR_D23318_93                 ,0  
Buckingham                    ,NMM ADM/L/B195                ,0  
BUEN CONSEJO                  ,MS. 272 DOC 11                ,0  
Buitenzorg                    ,"Extract Y, pp 278-283         ",0  
Buitenzorg                    ,"Extract Y, Reis 25            ",0  
Buitenzorg                    ,"Extract Y, Reis 5, pp 39-45   ",0  
Bulldog                       ,NMM ADM/L/B200                ,0  
Burford                       ,NMM ADM/L/B212                ,0  
Burford                       ,NMM ADM/L/B214                ,0  
Busbridge                     ,BL L/MAR/B/413A               ,0  
Busbridge                     ,BL L/MAR/B/413B               ,0  
Busbridge                     ,BL L/MAR/B/413C               ,0  
Cadmus                        ,A2419(1)_1-300                ,0  
Calcutta                      ,BL L/MAR/B/308M               ,0  
Calypso                       ,NMM ADM/L/C3                  ,0  
Camel                         ,NMM ADM/L/C20                 ,0  
Camel                         ,NMM ADM/L/C21                 ,0  
Candia                        ,I-37                          ,0  
Caroline                      ,NMM ADM/L/C59                 ,0  
Carysfort                     ,NMM ADM/L/C61                 ,0  
Carysfort                     ,NMM ADM/L/C64                 ,0  
Castle Huntley                ,NMM LOG/C/33                  ,0  
Castle Huntley                ,NMM LOG/C/47                  ,0  
Castle Huntley                ,NMM LOG/C/48                  ,0  
Castor                        ,ADM_177_1170                  ,0  
Castor                        ,ADM_177_1186                  ,0  
Castor                        ,MAR_D23318_40                 ,0  
Castor                        ,MAR_D23905_823                ,0  
Castor                        ,"Extract T, Reis 9             ",1  
Catharina                     ,"Extract C, Reis 9, p.142-162  ",0  
Catharina Johanna             ,"Extract M, Reis 40, pp 184-191",0  
Catharina Johanna             ,"Extract P, Reis 3             ",0  
Caton                         ,NMM ADM/L/C276                ,0  
Celebes                       ,"Extract C, Reis 3             ",0  
Centurian                     ,NMM ADM/L/C92                 ,0  
Ceres                         ,ADM_177_1198                  ,0  
Ceres                         ,ADM_177_1230                  ,0  
Ceres                         ,"Extract V, Reis 11, pp.82-93  ",0  
Ceres                         ,MAR_D23318_164                ,0  
Ceres                         ,NMM HMN/150                   ,0  
Charon                        ,NMM ADM/L/C111                ,0  
Chatham                       ,NMM ADM/L/C123                ,0  
Chatham                       ,NMM ADM/L/C124                ,0  
Chatham                       ,NMM ADM/L/C126                ,0  
Chesterfield                  ,NMM ADM/L/C137                ,0  
Chesterfield                  ,NMM ADM/L/C138                ,0  
Chichester                    ,NMM ADM/L/C146                ,0  
China                         ,"Extract O, Reis 08, p. 51-63  ",0  
Christiaan Huijgens           ,"Extract H, Reis 1             ",0  
Christina                     ,MMR_WAE187                    ,0  
Claudius Civilis              ,"Extract O, Reis 17            ",0  
Clive                         ,BL L/MAR/B/533A               ,0  
Clive                         ,BL L/MAR/B/533B               ,0  
Clive                         ,BL L/MAR/B/533C               ,0  
Clive                         ,BL L/MAR/B/533D               ,0  
Colchester                    ,BL L/MAR/B/113C               ,0  
Colchester                    ,NMM ADM/L/C165                ,0  
Coldstream                    ,BL L/MAR/B/5C                 ,0  
Concorde                      ,NMM ADM/L/C174                ,0  
Conqueror                     ,NMM ADM/L/C179                ,0  
Constellation                 ,ADM_181_IX-3                  ,0  
Conway                        ,NMM MLN/101/2                 ,0  
Cormorant                     ,NMM ADM/L/C194                ,0  
Cornelia                      ,"Extract M, Reis 41, pp.193-209",0  
Cornelia Sara                 ,"Extract T, Reis 27            ",0  
CORTES                        ,"CORREOS, 194B R6              ",0  
CORTES                        ,"CORREOS, 194B R7              ",0  
CORTES                        ,"CORREOS, 270A R11             ",0  
CORTES                        ,"CORREOS, 270A R2              ",0  
CORTES                        ,"CORREOS, 270A R3              ",0  
CORTES                        ,"CORREOS, 270A R5              ",0  
CORTES                        ,"CORREOS, 270A R8              ",0  
CORTES                        ,"CORREOS, 270B R1              ",0  
CORTES                        ,"CORREOS, 270B R10             ",0  
CORTES                        ,"CORREOS, 270B R11             ",0  
CORTES                        ,"CORREOS, 270B R12             ",0  
CORTES                        ,"CORREOS, 270B R13             ",0  
CORTES                        ,"CORREOS, 270B R2              ",0  
CORTES                        ,"CORREOS, 270B R3              ",0  
CORTES                        ,"CORREOS, 270B R4              ",0  
CORTES                        ,"CORREOS, 270B R5              ",0  
CORTES                        ,"CORREOS, 270B R6              ",0  
CORTES                        ,"CORREOS, 270B R7              ",0  
CORTES                        ,"CORREOS, 270B R8              ",0  
CORTES                        ,"CORREOS, 270B R9              ",0  
Cortgene                      ,"Extract E, Reis 02, p10-18    ",0  
CORZO                         ,1177 (125).1                  ,0  
Coventry                      ,NMM ADM/L/C214                ,0  
Crescent                      ,NMM ADM/L/C219                ,0  
Crescent                      ,NMM ADM/L/C220                ,0  
Crescent                      ,NMM ADM/L/C221                ,0  
Crescent                      ,NMM ADM/L/C222                ,0  
Crescent                      ,NMM ADM/L/C223                ,0  
Crescent                      ,NMM ADM/L/C224                ,0  
Crescent                      ,NMM ADM/L/C225                ,0  
Crescent                      ,NMM ADM/L/C226                ,0  
Crescent                      ,NMM ADM/L/C227                ,0  
Crocodile                     ,NMM ADM/L/C222                ,0  
Crown                         ,NMM ADM/L/C227                ,0  
Crown                         ,NMM ADM/L/C229                ,0  
Cruizer                       ,NMM ADM/L/C235                ,0  
Cuffnells                     ,NMM LOG/C/12                  ,0  
Culloden                      ,NMM ADM/L/C247                ,0  
Cumberland                    ,NMM ADM/L/C257                ,0  
Cumberland                    ,NMM DUD/2                     ,0  
Curacao                       ,MAR_D23905_951                ,0  
Curacao                       ,MAR_D23905_952                ,0  
Curacao                       ,MAR_D23905_954                ,0  
Curacao                       ,"Extract 1+, Reis 22           ",1  
Curacao                       ,"Extract 1+, Reis 22a          ",1  
Cyrene                        ,PRO ADM 51/3092               ,0  
Dadalus                       ,NMM ADM/L/D2                  ,0  
Dadalus                       ,NMM ADM/L/D3A                 ,0  
Dageraad                      ,MAR_D23905_4899               ,0  
Daphne                        ,NMM ADM/L/D7B                 ,0  
De Ruijter                    ,I-048                         ,0  
Deal Castle                   ,NMM ADM/L/D26B                ,0  
Decade                        ,NMM ADM/L/D27                 ,0  
Dedaigneuse                   ,NMM ADM/L/D29                 ,0  
Defence                       ,NMM ADM/L/D31b                ,0  
Delphina                      ,FAM_1130_127                  ,0  
DESCONOCIDO-01                ,MS. 272 DOC 12                ,0  
DESCONOCIDO-02                ,"MS. 272, doc 3                ",0  
DESCONOCIDO-03                ,MS. 272 DOC 8                 ,0  
DESCONOCIDO-04                ,MS. 156 DOC 003               ,0  
DESCONOCIDO-05                ,DESCONOCIDO-05                ,0  
DESCONOCIDO-06                ,MS. 128                       ,0  
DESCONOCIDO-07                ,MS. 928                       ,0  
DESCONOCIDO-08                ,MS. 166_005                   ,0  
DESCONOCIDO-09                ,DESCONOCIDO-09                ,0  
DESCONOCIDO-10                ,MS. 168 (3)                   ,0  
DESCONOCIDO-11                ,MS. 176/DOC9                  ,0  
DESCONOCIDO-12                ,MS. 2086                      ,0  
DESCONOCIDO-13                ,MS. 162 (4)                   ,0  
DESCONOCIDO-14                ,MS. 407                       ,0  
DESCONOCIDO-14                ,MS. 407                       ,1  
DESCONOCIDO-15                ,MS. 965                       ,0  
DESCONOCIDO-16                ,MS. 172 (3)                   ,0  
DESCONOCIDO-17                ,MS. 2101                      ,0  
DESCONOCIDO-18                ,MS. 111/DOC3                  ,0  
DESCONOCIDO-18                ,MS. 111/DOC3                  ,1  
DESCONOCIDO-18                ,MS. 111/DOC3                  ,2  
DESCONOCIDO-19                ,MS. 176 DOC24(2)              ,0  
DESCONOCIDO-20                ,MS. 172 (1)                   ,0  
DESCONOCIDO-21                ,MS. 176/DOC3(3)               ,0  
DESCONOCIDO-22                ,MS. 172 (1)                   ,0  
DESCONOCIDO-23                ,MS. 922                       ,0  
DESCONOCIDO-24                ,MS. 2235                      ,0  
DESCONOCIDO-25                ,MS. 220                       ,0  
DESCONOCIDO-26                ,MS. 966                       ,0  
DESCONOCIDO-27 (RAYO)         ,MS. 110 DOC 1                 ,0  
DESCONOCIDO-28                ,MS. 110 DOC 2                 ,0  
DESCONOCIDO-28                ,MS. 110 DOC 2                 ,1  
DESCONOCIDO-29                ,MS. 938                       ,0  
Diadem                        ,NMM ADM/L/D91                 ,0  
Diana                         ,"Extract T, Reis 15            ",0  
Diana                         ,NMM ADM/L/D108                ,0  
Diana                         ,NMM ADM/L/D109                ,0  
Die Gebruder                  ,MMR_H96                       ,0  
Diligence                     ,NMM ADM/L/D119                ,0  
Diligencia                    ,"CORREOS, 193A R3              ",0  
Diligencia                    ,"CORREOS, 193A R4              ",0  
Diligencia                    ,"CORREOS, 193A R5              ",0  
Diligencia                    ,"CORREOS, 193A R6              ",0  
Diligencia                    ,"CORREOS, 193A R7              ",0  
Diligencia                    ,"CORREOS, 195B R10             ",0  
Diligencia                    ,"CORREOS, 279B R7              ",0  
DILIGENTE                     ,MS. 1791                      ,0  
DILIGENTE                     ,MS. 1794                      ,1  
DILIGENTE                     ,MS. 1780                      ,2  
DILIGENTE                     ,MS. 2023                      ,3  
DILIGENTE                     ,MS. 1797                      ,4  
Diomede                       ,NMM ADM/L/D125                ,0  
Diomede                       ,NMM ADM/L/D126                ,0  
Doctrina et Amicitia          ,"Extract O, Reis 12, p.101-113 ",0  
Doctrina et Amicitia          ,"Extract O, Reis 15a           ",0  
Doctrina et Amicitia          ,Extract 15+ Reis 15           ,1  
Doddington                    ,BL L/MAR/B/619B               ,0  
Dolfijn                       ,MAR_D23905_1069               ,0  
Dolfijn                       ,MAR_D23905_1070               ,0  
Dolphijn                      ,FAM_1225_17                   ,0  
Dolphijn                      ,FAM_1225_20                   ,0  
Dordrecht                     ,MAR_D23318_44                 ,0  
Dordrecht                     ,MAR_D23905_1156               ,0  
Dordrecht                     ,MAR_D23905_1157               ,0  
Dordrecht                     ,MAR_D23905_1158               ,0  
Dordrecht                     ,MAR_D23905_1159               ,0  
Dordrecht                     ,MAR_D23905_1160               ,0  
Dordrecht                     ,MAR_D23905_1161               ,0  
Dordregt                      ,ADM_177_1153                  ,0  
Dordregt                      ,ADM_177_1158                  ,0  
Dortenaar                     ,MMR_H500_501                  ,0  
Dover Castle                  ,BL L/MAR/B/232b               ,0  
Dover Castle                  ,BL L/MAR/B/232C               ,0  
Dover Castle                  ,BL L/MAR/B/232D               ,0  
Dover Castle                  ,BL L/MAR/B/232E               ,0  
Dragon                        ,BL L/MAR/B/598B               ,0  
DRAG”N                        ,MS. 170                       ,0  
Dreadnought                   ,NMM ADM/L/D228                ,0  
Dreadnought                   ,NMM ADM/L/D229                ,0  
Dreadnought                   ,NMM ADM/L/D28                 ,0  
Dregterlandt                  ,MMR_VOC_H475                  ,0  
Drie Gebroeders               ,"Extract T, Reis 01, pp.2-11   ",0  
Drie Gesusters                ,MCC_20_329                    ,0  
Drie Gesusters                ,MCC_20_338                    ,0  
Drie Vrienden                 ,"Extract M, Reis 33            ",0  
Drie Vrienden                 ,"Extract M, Reis 36 pp. 133-142",0  
Drie Vrienden                 ,"Extract M, Reis 38, pp 151-158",0  
Drie Vrienden                 ,"Extract O, Reis 01, p. 1a-5a  ",0  
Drie Vrienden                 ,"Extract O, Reis 1             ",0  
Drie Vrienden                 ,"Extract O, Reis 2             ",0  
Dromedary                     ,NMM ADM/L/S238                ,0  
Druid                         ,NMM ADM/L/D239                ,0  
Druid                         ,NMM ADM/L/D242                ,0  
Dublin                        ,NMM ADM/L/D249                ,0  
Duke of Dorset                ,BL L/MAR/B/612F               ,0  
Duke of Dorset                ,BL L/MAR/B/614F               ,0  
Dunira                        ,NMM LOG/C/61                  ,0  
Dunkirk                       ,NMM ADM/L/D295                ,0  
Eagle                         ,NMM ADM/L/E14                 ,0  
Eagle                         ,NMM ADM/L/E57                 ,0  
Earl of Mansfield             ,BL L/MAR/B/530D               ,0  
Earl of Mansfield             ,BL L/MAR/B/530E               ,0  
Earl of Middlesex             ,BL L/MAR/B/579A               ,0  
Earl of Middlesex             ,BL L/MAR/B/579B               ,0  
Earl of Middlesex             ,BL L/MAR/B/579C               ,0  
Earl Spencer                  ,BL L/MAR/B/227D               ,0  
Earl Spencer                  ,BL L/MAR/B/227E               ,0  
Earl Spencer                  ,BL L/MAR/B/227F               ,0  
Earl Talbot                   ,BL L/MAR/B/410E               ,0  
Earl Talbot                   ,BL L/MAR/B/410F               ,0  
Echo                          ,MAR_D23318_89                 ,0  
Echo                          ,MAR_D23905_1230               ,0  
Echo                          ,MAR_D23905_1231               ,0  
Eendracht                     ,MAR_D23905_1245               ,0  
Eenigheijt                    ,MCC_20_383                    ,0  
Eenigheijt                    ,MCC_20_391                    ,0  
Eensgezindheid                ,ADM_177_3382                  ,0  
Eensgezindheid                ,MAR_D23318_54                 ,0  
EFIGENIA                      ,MS. 1474                      ,0  
Egmond                        ,"Extract T, Reis 28            ",0  
Egmond                        ,MAR_D23905_1246               ,0  
Egmont                        ,NMM ADM/L/E57                 ,0  
EL ACTIVO                     ,MS. 126                       ,0  
EL AGUILA                     ,"CORREOS, 191B R6              ",0  
EL AGUILA                     ,"CORREOS, 191B R7              ",0  
EL AGUILA                     ,"CORREOS, 192 R7               ",0  
EL AGUILA                     ,"CORREOS, 192B R2              ",0  
EL AGUILA                     ,"CORREOS, 192B R3              ",0  
EL AGUILA                     ,"CORREOS, 192B R6              ",0  
EL AGUILA                     ,"CORREOS, 279B R2              ",0  
EL AGUILA                     ,"CORREOS, 279B R3              ",0  
EL AGUILA                     ,MS. 877                       ,0  
EL AGUILA                     ,MS. 880                       ,0  
EL ANDALUZ                    ,MS. 214                       ,0  
EL CARMEN (ALIAS EL SALVADOR) ,MS. 178                       ,0  
EL COLON                      ,"CORREOS, 275A R1              ",0  
EL COLON                      ,"CORREOS, 275A R10             ",0  
EL COLON                      ,"CORREOS, 275A R11             ",0  
EL COLON                      ,"CORREOS, 275A R12             ",0  
EL COLON                      ,"CORREOS, 275A R13             ",0  
EL COLON                      ,"CORREOS, 275A R2              ",0  
EL COLON                      ,"CORREOS, 275A R3              ",0  
EL COLON                      ,"CORREOS, 275A R4              ",0  
EL COLON                      ,"CORREOS, 275A R5              ",0  
EL COLON                      ,"CORREOS, 275A R6              ",0  
EL COLON                      ,"CORREOS, 275A R7              ",0  
EL COLON                      ,"CORREOS, 275A R8              ",0  
EL COLON                      ,"CORREOS, 275A R9              ",0  
EL COLON                      ,"CORREOS, 275B R1              ",0  
EL COLON                      ,"CORREOS, 275B R10             ",0  
EL COLON                      ,"CORREOS, 275B R2              ",0  
EL COLON                      ,"CORREOS, 275B R3              ",0  
EL COLON                      ,"CORREOS, 275B R4              ",0  
EL COLON                      ,"CORREOS, 275B R5              ",0  
EL COLON                      ,"CORREOS, 275B R6              ",0  
EL COLON                      ,"CORREOS, 275B R7              ",0  
EL COLON 2?                   ,"CORREOS, 195B R11             ",0  
EL CUERVO                     ,"CORREOS, 279B R9              ",0  
EL DESPACHO                   ,"CORREOS, 279B R1              ",0  
EL FAMOSO SEVILLANO           ,MS. 243                       ,0  
EL F…NIX                      ,MS. 422                       ,0  
EL GALLARDO                   ,MS. 2026                      ,0  
El Gallego                    ,"CORREOS, 194B R1              ",0  
El Gallego                    ,"CORREOS, 194B R2              ",0  
EL GALLEGO                    ,"CORREOS, 272B R1              ",0  
EL GALLEGO                    ,"CORREOS, 272B R10             ",0  
EL GALLEGO                    ,"CORREOS, 272B R2              ",0  
EL GALLEGO                    ,"CORREOS, 272B R3              ",0  
EL GALLEGO                    ,"CORREOS, 272B R5              ",0  
EL GALLEGO                    ,"CORREOS, 272B R6              ",0  
EL GALLEGO                    ,"CORREOS, 272B R7              ",0  
EL GALLEGO                    ,"CORREOS, 272B R8              ",0  
EL GALLEGO                    ,"CORREOS, 272B R9              ",0  
EL GRAN PODER DE DIOS         ,MS. 176 (16)                  ,0  
El Grimaldi                   ,"CORREOS, 192B R11             ",0  
El Grimaldi                   ,"CORREOS, 192B R12             ",0  
El Grimaldi                   ,"CORREOS, 192B R8              ",0  
El Grimaldi                   ,"CORREOS, 192B R9              ",0  
EL GRIMALDI                   ,"CORREOS, 269A R1              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R1              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R10             ",0  
EL GRIMALDI                   ,"CORREOS, 272A R11             ",0  
EL GRIMALDI                   ,"CORREOS, 272A R12             ",0  
EL GRIMALDI                   ,"CORREOS, 272A R13             ",0  
EL GRIMALDI                   ,"CORREOS, 272A R14             ",0  
EL GRIMALDI                   ,"CORREOS, 272A R2              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R3              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R4              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R5              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R6              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R7              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R8              ",0  
EL GRIMALDI                   ,"CORREOS, 272A R9              ",0  
EL HOPP                       ,MS. 153 (1)                   ,0  
EL HOPP                       ,MS. 226                       ,0  
EL HOPP                       ,MS. 226                       ,1  
EL JUPITER                    ,MS. 160 (1)                   ,0  
EL JUPITER                    ,MS. 284                       ,0  
EL JUPITER                    ,MS. 284                       ,1  
EL KAULIKAN                   ,"CORREOS, 279B R4              ",0  
EL KAULIKAN                   ,"CORREOS, 279B R6              ",0  
EL LANZAROTE                  ,"CORREOS, 275B R11             ",0  
EL LANZAROTE                  ,"CORREOS, 275B R13             ",0  
EL MAGALLANES                 ,"CORREOS, 276A R11             ",0  
EL MAGALLANES                 ,"CORREOS, 276A R12             ",0  
EL MAGALLANES                 ,"CORREOS, 276A R4              ",0  
EL MAGALLANES                 ,"CORREOS, 276A R5              ",0  
EL MARLLORQUÕN                ,MS. 1689                      ,0  
EL MONARCA                    ,MS. 209                       ,0  
El Patagon                    ,"CORREOS, 194A R1              ",0  
El Patagon                    ,"CORREOS, 194A R2              ",0  
El Patagon                    ,"CORREOS, 194A R3              ",0  
El Patagon                    ,"CORREOS, 194A R4              ",0  
